,Spleen_NK_1,Spleen_NK_2,Spleen_NK_3,Spleen_NK_4,Spleen_NK_5,Spleen_ILC1_1,Spleen_ILC1_2,Spleen_ILC1_3
-343C11.2,0,0,0,0,1,0,0,0
00R_AC107638.2,4,3,0,3,7,7,3,8
00R_Pgap2,0,0,0,0,0,0,0,0
0610005C13Rik,10,20,19,21,10,21,21,12
0610006L08Rik,0,0,0,0,0,0,0,0
0610007P14Rik,3097,2648,1329,1209,1363,1816,1314,1600
0610009B22Rik,632,493,232,223,203,327,236,273
0610009E02Rik,5,3,5,4,7,4,4,3
0610009L18Rik,134,134,55,60,43,17,41,55
0610009O20Rik,358,384,236,254,293,377,230,231
0610010F05Rik,3781,2979,1622,1793,1748,185,733,733
0610010K14Rik,192,151,89,114,95,109,65,103
0610012D04Rik,60,72,32,20,22,2,7,0
0610012G03Rik,1942,1736,759,642,658,47,623,664
0610025J13Rik,0,0,2,1,1,0,1,0
0610030E20Rik,4314,4160,2563,2668,3350,2442,1928,2742
0610031O16Rik,0,0,0,0,0,0,0,0
0610033M10Rik,0,0,0,0,0,0,0,0
0610037L13Rik,2771,2357,1121,1057,1261,1699,1002,1306
0610038B21Rik,65,52,35,33,34,14,20,12
0610039K10Rik,6,10,3,7,3,3,4,7
0610040B10Rik,36,95,41,44,38,92,38,58
0610040F04Rik,10,6,2,8,6,1,3,3
0610040J01Rik,24,17,0,2,0,12,52,43
0610043K17Rik,10,5,0,7,5,6,4,6
1010001B22Rik,16,18,3,3,6,1,3,4
1010001N08Rik,1,1,0,1,0,0,1,0
1110002E22Rik,0,4,0,0,0,0,1,0
1110002J07Rik,0,3,0,4,2,3,0,12
1110002L01Rik,471,494,220,256,277,200,165,188
1110002O04Rik,0,1,0,0,0,0,0,0
1110003F10Rik,13,15,3,10,11,8,5,2
1110004E09Rik,802,529,185,218,236,395,301,372
1110004F10Rik,7771,6101,2859,2730,2648,4614,3171,3836
1110006O24Rik,63,57,15,26,31,38,31,30
1110008E08Rik,0,0,0,0,0,0,0,0
1110008F13Rik,3710,2944,1462,1415,1518,140,1351,1391
1110008L16Rik,421,384,219,198,190,469,231,315
1110008P14Rik,920,1091,500,388,437,694,529,559
1110012L19Rik,1077,977,447,411,478,498,356,464
1110015O18Rik,0,3,0,0,4,0,0,0
1110017D15Rik,0,0,2,0,0,0,0,0
1110018N20Rik,0,0,0,0,0,0,0,0
